Anger,Boredom,Disgust,Fear,Happiness,Emo_Neutral,Sadness,Aggressiv,Cheerful,Intoxicated,Nervous,Aff_Neutral,Tired,Disinterest,Normal,High Interest,Arousal,Valence,Filename
0.000274,0.000197,0.023134,0.000016,0.000018,0.000011,0.976350,0.035818,0.096254,0.788471,0.018722,0.036606,0.024128,0.033031,0.957892,0.009078,2.794497e-01,1.870662e-01,14_c_a.wav
0.000467,0.000242,0.523984,0.000067,0.000130,0.000017,0.475093,0.105487,0.299923,0.446883,0.021241,0.068350,0.058116,0.005778,0.735871,0.258352,1.617194e-01,3.055856e-03,14_d_a.wav
0.000489,0.000168,0.106445,0.000028,0.000269,0.000026,0.892576,0.098662,0.438247,0.219056,0.027938,0.122034,0.094064,0.009719,0.834973,0.155308,7.391315e-02,1.478823e-02,14_e_a.wav
0.001169,0.000106,0.374811,0.000027,0.000348,0.000010,0.623529,0.165074,0.390761,0.242935,0.031981,0.086003,0.083247,0.011534,0.884959,0.103507,9.949604e-02,-2.617555e-02,150_a_q.wav
0.000028,0.000005,0.197074,0.000002,0.000002,0.000000,0.802888,0.028131,0.075501,0.841925,0.010214,0.033302,0.010926,0.077646,0.907002,0.015352,2.775611e-01,2.993588e-01,151_a_q.wav
0.000402,0.000056,0.451367,0.000014,0.000132,0.000004,0.548025,0.094877,0.202997,0.604099,0.013486,0.060413,0.024127,0.015670,0.968872,0.015458,2.381558e-01,1.570917e-01,152_a_q.wav
0.000156,0.000029,0.078203,0.000011,0.000059,0.000002,0.921540,0.137420,0.321174,0.352372,0.034719,0.093357,0.060956,0.024285,0.465879,0.509836,1.233701e-01,1.309326e-01,153_a_a.wav
0.000083,0.000015,0.061927,0.000009,0.000055,0.000001,0.937910,0.133533,0.377168,0.299553,0.035090,0.075766,0.078890,0.026100,0.969319,0.004580,1.106813e-01,1.290030e-01,153_b_a.wav
0.000689,0.002398,0.008796,0.000093,0.000403,0.000366,0.987255,0.103871,0.451529,0.099896,0.038696,0.146506,0.159502,0.009636,0.977484,0.012880,-6.555351e-02,4.092609e-02,154_a_q.wav
0.000345,0.000492,0.002774,0.000168,0.000276,0.000081,0.995863,0.061012,0.361510,0.109698,0.041129,0.060880,0.365771,0.038023,0.780444,0.181533,-1.376921e-01,-2.870783e-03,155_a_q.wav
0.000002,0.000002,0.001794,0.000000,0.000000,0.000000,0.998203,0.056792,0.028175,0.518085,0.090992,0.292589,0.013368,0.238183,0.612070,0.149747,3.794513e-01,6.831025e-01,156_a_a.wav
0.000060,0.000073,0.012419,0.000005,0.000002,0.000004,0.987437,0.095875,0.225860,0.185417,0.065912,0.330321,0.096615,0.013753,0.985329,0.000918,1.144810e-01,3.288763e-01,156_b_a.wav
0.000010,0.000003,0.028374,0.000001,0.000006,0.000000,0.971606,0.133770,0.293379,0.282734,0.046153,0.167496,0.076469,0.031938,0.965174,0.002888,1.228838e-01,1.618349e-01,157_a_q.wav
0.000012,0.000003,0.030790,0.000002,0.000002,0.000000,0.969191,0.007973,0.019981,0.942353,0.008227,0.012030,0.009437,0.082912,0.895323,0.021765,1.630267e-01,1.365099e-01,159_a_a.wav
