Anger,Boredom,Disgust,Fear,Happiness,Emo_Neutral,Sadness,Aggressiv,Cheerful,Intoxicated,Nervous,Aff_Neutral,Tired,Disinterest,Normal,High Interest,Arousal,Valence,Filename
0.006500,0.019779,0.060428,0.009309,0.006785,0.002183,0.895015,0.169393,0.451439,0.113271,0.031142,0.047504,0.187252,0.004647,0.194735,0.800618,1.179393e-01,-4.150172e-02,214_b_p.wav
0.013382,0.124657,0.066630,0.016850,0.010165,0.013977,0.754339,0.147209,0.512892,0.098322,0.025950,0.051592,0.164035,0.014066,0.780506,0.205428,5.690337e-03,-1.231109e-01,214_c_a.wav
0.000169,0.000051,0.115848,0.000018,0.000091,0.000003,0.883821,0.123527,0.444036,0.250061,0.036466,0.073479,0.072431,0.024779,0.854865,0.120356,1.150128e-01,1.095674e-01,214_c_p.wav
0.000310,0.002139,0.011124,0.000100,0.000259,0.000195,0.985872,0.081829,0.356040,0.122225,0.046220,0.075732,0.317954,0.011988,0.891319,0.096692,2.095187e-02,1.007983e-01,215_a_q.wav
0.000065,0.001448,0.000440,0.000112,0.000077,0.000131,0.997727,0.011072,0.072919,0.045134,0.015965,0.010312,0.844598,0.075592,0.589273,0.335134,-1.759634e-01,-5.594918e-03,216_a_q.wav
0.000103,0.001306,0.001350,0.000115,0.000127,0.000127,0.996870,0.025439,0.204012,0.061921,0.025301,0.019198,0.664130,0.041985,0.334835,0.623180,5.355963e-04,5.765340e-02,217_a_q.wav
0.000182,0.000806,0.001737,0.000030,0.000172,0.000084,0.996989,0.007838,0.006297,0.044031,0.002357,0.001472,0.938006,0.016388,0.225327,0.758285,1.601206e-01,1.156698e-01,219_a_a.wav
0.000435,0.008339,0.002039,0.000200,0.000296,0.000778,0.987913,0.004601,0.002506,0.018139,0.001123,0.000380,0.973251,0.019888,0.300886,0.679226,6.129835e-02,6.050352e-02,219_a_p.wav
0.000297,0.000114,0.032320,0.000012,0.000128,0.000009,0.967120,0.045974,0.035796,0.138354,0.013245,0.012075,0.754555,0.004040,0.052091,0.943869,2.660298e-01,2.671188e-01,219_b_p.wav
0.019199,0.522867,0.051944,0.031975,0.023472,0.113908,0.236636,0.003971,0.005576,0.021267,0.000834,0.000545,0.967807,0.032172,0.105780,0.862047,4.624554e-02,1.507796e-02,219_c_p.wav
