ID,VideoTitle,Name,Sex,Academic Status,VideoID,IsNativeSpeaker
398,ForceRay: Extending Thumb Reach via Force Input Stabilizes Devize Grip for Mobile Touch Input,Christian Corsten,Male,PhD,j0-WKQkVLW8,Europ. Non-Native
399,Question in ForceRay,,Male,,j0-WKQkVLW8,Native Speaker
400,Question in ForceRay,,Male,,j0-WKQkVLW8,Asian Non-Native
401,Question in ForceRay,,Male,,j0-WKQkVLW8,Native Speaker
402,From Being There to Watching: Shared and Dedicated Telepresence Robot Usage at Academic Conferences,Carman Neustaedter,Male,PhD,wgXZHEgsK1E,Native Speaker
403,Question in From Being There to Watching,,Male,,wgXZHEgsK1E,Asian Non-Native
404,Question in From Being There to Watching,,Male,,wgXZHEgsK1E,Europ. Non-Native
405,From the Lab to the UB Truck: Object-Based Broadcasting at the FA Cup in Wembley Stadium,Thomas Röggla,Male,PhD,0dbr23kR4Pg,Europ. Non-Native
406,Question in From the Lab to the UB,,Female,,0dbr23kR4Pg,Asian Non-Native
407,Question in From the Lab to the UB,,Male,,0dbr23kR4Pg,Asian Non-Native
408,Question in From the Lab to the UB,,Male,,0dbr23kR4Pg,Native Speaker
409,FTVR in VR: Evaluating 3D Performance with a Simulated Volumetric Fish-Tank Virtual Reality Display,Dylan Fafard,Male,Grad Student,071I_uohryQ,Native Speaker
410,Question in FTVR in VR,,Male,,071I_uohryQ,Native Speaker
411,Question in FTVR in VR,,Male,,071I_uohryQ,Native Speaker
412,Question in FTVR in VR,,Male,,071I_uohryQ,Native Speaker
413,Question in FTVR in VR,,Female,,071I_uohryQ,Native Speaker
414,Gabber: Supporting Voice in Participatory Qualitative Practices,Jay Rainey,Male,PhD,w7FcZBXccO4,Native Speaker
415,Question in Gabber,,Female,,w7FcZBXccO4,Asian Non-Native
416,Question in Gabber,,Male,,w7FcZBXccO4,Native Speaker
417,Question in Gabber,,Female,,w7FcZBXccO4,Asian Non-Native
418,Gamification in Science: A Study of Requirements in the Context of Reproducible Research,Sebastian S. Feger,Male,Grad Student,IlC0LxNNFAw,Europ. Non-Native
419,Question in Gamification in Science,,Male,,IlC0LxNNFAw,Native Speaker
420,Question in Gamification in Science,,Female,,IlC0LxNNFAw,Europ. Non-Native
421,Gamified Ads: Bridging the Gap Between User Enjoyment and the Effectiveness of Online Ads,Maximilian Altmeyer,Male,Grad Student,_ChjZ7FDUg0,Europ. Non-Native
422,Question in Gamified Ads,,Female,,_ChjZ7FDUg0,Native Speaker
423,Question in Gamified Ads,,Male,,_ChjZ7FDUg0,Native Speaker
424,Question in Gamified Ads,,Male,,_ChjZ7FDUg0,Native Speaker
425,Gehna: Exploring the Design Space of Jewelry as an Input Modality,Jatin Arora,Male,Grad Student,gYRPXoRYtXU,Asian Non-Native
426,Question in Gehna,,Female,,gYRPXoRYtXU,Native Speaker
427,Question in Gehna,,Male,,gYRPXoRYtXU,Asian Non-Native
428,Hands Holding Clues for Object Recognitiion in Teachable Machines,Kyungjun Lee,Male,Grad Student,4NBuqmwUryk,Asian Non-Native
429,Question in Hands Holding Clues,,Male,,4NBuqmwUryk,Native Speaker
430,Question in Hands Holding Clues,,Female,,4NBuqmwUryk,Native Speaker
431,HapTwist: Creating Interactive Haptic Proxies in VR Using Low-cost Twistable Artefacts,Kening Zhu,Male,PhD,nnqTJJIsPcs,Asian Non-Native
432,Question in HapTwist,,Male,,nnqTJJIsPcs,Europ. Non-Native
433,Question in HapTwist,,Male,,nnqTJJIsPcs,Asian Non-Native
434,HCI and Affective Health: Taking stock of a decade of studies and charting future research directions,Pedro Sanches,Male,PhD,IlAAXSIb4WA,Europ. Non-Native
435,Question in HCI and Affective Health,,Male,,IlAAXSIb4WA,Native Speaker
436,Question in HCI and Affective Health,,Female,,IlAAXSIb4WA,Native Speaker
437,Question in HCI and Affective Health,,Male,,IlAAXSIb4WA,Native Speaker
438,HotStrokes: Word-Gesture Shortcuts on a Trackpad,Wenzhe Cui,Male,Grad Student,iSQYejYs1fg,Asian Non-Native
439,Question in HotStrokes,,Male,,iSQYejYs1fg,Europ. Non-Native
440,Question in HotStrokes,,Male,,iSQYejYs1fg,Asian Non-Native
441,Question in HotStrokes,,Male,,iSQYejYs1fg,Native Speaker
442,How to Carry Out Usability Studies with Visually Impaired Children,Carlos Alberto Martinez Sandoval,Male,PhD,4FPuZj3tHJ4,Latin America
443,Question in How to Carry Out Usability Studies with Visually Impaired Children,,Female,,4FPuZj3tHJ4,Europ. Non-Native
444,Question in How to Carry Out Usability Studies with Visually Impaired Children,,Female,,4FPuZj3tHJ4,Europ. Non-Native
445,Question in How to Carry Out Usability Studies with Visually Impaired Children,,Male,,4FPuZj3tHJ4,Europ. Non-Native
446,Question in How to Carry Out Usability Studies with Visually Impaired Children,,Male,,4FPuZj3tHJ4,Native Speaker
447,Implementing Multi-Touch Gestures with Touch Groups and Cross Events,Brad Myers,Male,PhD,didYdY83zoc,Native Speaker
448,Question in Implementing Multi-Touch Gestures,,Male,,didYdY83zoc,Native Speaker
449,Question in Implementing Multi-Touch Gestures,,Male,,didYdY83zoc,Native Speaker
450,Question in Implementing Multi-Touch Gestures,,Male,,didYdY83zoc,Native Speaker
451,Improving Early Navigation in Time-Lapse Video with Spread-Frame Loading,Michael Van Der Kamp,Male,Grad Student,G-LMD3Ro_hQ,Native Speaker
452,Question in Improving Early Navigation,,Male,,G-LMD3Ro_hQ,Native Speaker
453,Question in Improving Early Navigation,,Male,,G-LMD3Ro_hQ,Native Speaker
454,Question in Improving Early Navigation,,Male,,G-LMD3Ro_hQ,Europ. Non-Native
455,In a Silent Way: Communication Between AI and Improvising Musicians Beyond Sound,Jon McCormack,Male,PhD,r5KA1Jo_vYU,Native Speaker
456,Question in In a Silent Way,,Female,,r5KA1Jo_vYU,Europ. Non-Native
457,Interferi: Gesture Sensing using On-Body Acoustic Interferometry,Yasha Iravantchi,Male,Grad Student,xBpBBpQh7GI,Native Speaker
458,Question in Interferi,,Male,,xBpBBpQh7GI,Europ. Non-Native
459,Question in Interferi,,Male,,xBpBBpQh7GI,Asian Non-Native
460,Question in Interferi,,Male,,xBpBBpQh7GI,Native Speaker
461,Question in Interferi,,Male,,xBpBBpQh7GI,Europ. Non-Native
462,Question in Interferi,,Male,,xBpBBpQh7GI,Asian Non-Native
463,Question in Interferi,,Male,,xBpBBpQh7GI,Asian Non-Native
464,Interpreting the Diversity in Subjective Judgments,Jean-Bernard Martens,Male,PhD,pS7CzHfawDU,Europ. Non-Native
465,Question in Interpreting the Diversity in Subjective Judgments,,Male,,pS7CzHfawDU,Europ. Non-Native
