Anger,Boredom,Disgust,Fear,Happiness,Emo_Neutral,Sadness,Aggressiv,Cheerful,Intoxicated,Nervous,Aff_Neutral,Tired,Disinterest,Normal,High Interest,Arousal,Valence,Filename
0.009664,0.259257,0.048047,0.005660,0.008790,0.054429,0.614152,0.128646,0.280262,0.140390,0.020162,0.031640,0.398901,0.003178,0.959200,0.037622,7.074680e-02,5.125186e-02,141_a_q.wav
0.000003,0.000002,0.001967,0.000000,0.000002,0.000000,0.998026,0.031239,0.150425,0.541699,0.039043,0.098808,0.138786,0.049050,0.928057,0.022893,1.965979e-02,1.028592e-01,142_a_q.wav
0.002323,0.007271,0.347959,0.000295,0.001610,0.000797,0.639746,0.176970,0.541633,0.107219,0.031829,0.076034,0.066314,0.008346,0.925971,0.065683,8.877839e-02,4.513317e-02,143_a_a.wav
0.004675,0.015857,0.563045,0.000660,0.002763,0.001560,0.411441,0.198458,0.514077,0.114614,0.028764,0.066574,0.077513,0.007020,0.828405,0.164576,1.773395e-01,6.220389e-02,143_b_a.wav
0.048048,0.069304,0.407012,0.013144,0.021843,0.008262,0.432387,0.225392,0.475041,0.135404,0.030683,0.049237,0.084243,0.003833,0.899002,0.097165,4.573442e-02,-2.740157e-02,143_c_a.wav
0.002431,0.009125,0.028120,0.000781,0.001633,0.001317,0.956594,0.111048,0.531728,0.083506,0.033736,0.058044,0.181938,0.018844,0.781577,0.199579,-4.778614e-02,6.791048e-02,144_a_q.wav
0.001081,0.002536,0.028044,0.000087,0.000657,0.000271,0.967325,0.121382,0.430397,0.110855,0.039318,0.150673,0.147375,0.012621,0.975099,0.012280,-7.713454e-02,3.330208e-02,145_a_q.wav
0.000310,0.000216,0.030384,0.000020,0.000173,0.000020,0.968878,0.121573,0.468056,0.134334,0.043794,0.084246,0.147997,0.028383,0.954585,0.017032,5.277871e-02,7.018699e-02,146_a_q.wav
0.001113,0.000296,0.161793,0.000078,0.000484,0.000025,0.836211,0.199593,0.429764,0.162769,0.040870,0.092558,0.074446,0.023940,0.959869,0.016191,7.066171e-02,6.298310e-02,147_a_a.wav
0.000232,0.000038,0.037144,0.000013,0.000139,0.000005,0.962427,0.120633,0.455524,0.118248,0.040213,0.081147,0.184234,0.021256,0.951376,0.027368,1.105489e-01,8.413539e-02,148_a_q.wav
0.099355,0.088292,0.653881,0.008324,0.025389,0.016529,0.108229,0.383058,0.283770,0.181701,0.024469,0.060801,0.066201,0.001220,0.764862,0.233918,1.739158e-01,-4.734087e-02,149_a_a.wav
0.090729,0.041011,0.671637,0.004875,0.013010,0.006687,0.172051,0.361051,0.306002,0.174757,0.023769,0.072571,0.061850,0.002681,0.834924,0.162394,1.732687e-01,-7.895511e-02,149_b_a.wav
0.006506,0.013181,0.935653,0.000357,0.002007,0.001218,0.041078,0.285975,0.290429,0.258528,0.023542,0.099383,0.042144,0.003194,0.856628,0.140178,1.466582e-01,-1.500501e-01,149_c_a.wav
0.001620,0.015955,0.108535,0.000278,0.001368,0.001776,0.870468,0.075955,0.403981,0.132753,0.026774,0.056377,0.304161,0.005952,0.900954,0.093094,1.034157e-01,-7.665367e-03,14_a_a.wav
0.023474,0.115915,0.204791,0.009532,0.015020,0.026128,0.605139,0.138392,0.559076,0.090902,0.024109,0.057482,0.130038,0.004875,0.949223,0.045902,7.421390e-02,-7.722586e-02,14_b_a.wav
0.010057,0.038061,0.151234,0.001513,0.005816,0.004502,0.788817,0.121886,0.450513,0.184317,0.022068,0.062481,0.158734,0.005134,0.931803,0.063063,3.597028e-02,-1.442420e-01,14_c_a.wav
0.042380,0.482444,0.132272,0.019592,0.032947,0.092518,0.197848,0.158346,0.574098,0.100829,0.021769,0.067792,0.077166,0.003476,0.760855,0.235669,2.944781e-02,-2.160181e-01,14_d_a.wav
0.000489,0.000168,0.106445,0.000028,0.000269,0.000026,0.892576,0.098662,0.438247,0.219056,0.027938,0.122034,0.094064,0.009719,0.834973,0.155308,7.391315e-02,1.478823e-02,14_e_a.wav
0.001169,0.000106,0.374811,0.000027,0.000348,0.000010,0.623529,0.165074,0.390761,0.242935,0.031981,0.086003,0.083247,0.011534,0.884959,0.103507,9.949604e-02,-2.617555e-02,150_a_q.wav
0.002556,0.011654,0.503805,0.000257,0.001629,0.001115,0.478984,0.182927,0.480825,0.161626,0.027015,0.071596,0.076012,0.004607,0.838781,0.156612,1.337519e-01,-2.952546e-02,151_a_q.wav
0.013188,0.002409,0.721345,0.000478,0.003330,0.000234,0.259016,0.222484,0.416346,0.177147,0.028750,0.093076,0.062197,0.002785,0.946760,0.050455,1.366400e-01,2.501362e-03,152_a_q.wav
0.016275,0.045709,0.147046,0.008281,0.009263,0.006728,0.766698,0.179647,0.496356,0.141646,0.028477,0.069639,0.084235,0.015415,0.946548,0.038038,2.267023e-02,-6.440882e-02,153_a_a.wav
0.000780,0.001090,0.242579,0.000123,0.000457,0.000077,0.754894,0.132361,0.431063,0.259028,0.026787,0.062092,0.088669,0.015191,0.948049,0.036760,1.023403e-01,3.866486e-02,153_b_a.wav
0.000689,0.002398,0.008796,0.000093,0.000403,0.000366,0.987255,0.103871,0.451529,0.099896,0.038696,0.146506,0.159502,0.009636,0.977484,0.012880,-6.555351e-02,4.092609e-02,154_a_q.wav
0.000345,0.000492,0.002774,0.000168,0.000276,0.000081,0.995863,0.061012,0.361510,0.109698,0.041129,0.060880,0.365771,0.038023,0.780444,0.181533,-1.376921e-01,-2.870783e-03,155_a_q.wav
0.001274,0.004551,0.106535,0.000095,0.000785,0.000632,0.886128,0.118988,0.479001,0.121172,0.028031,0.133817,0.118992,0.004433,0.961264,0.034303,4.266635e-02,1.200695e-01,156_a_a.wav
0.000289,0.000679,0.113779,0.000031,0.000217,0.000112,0.884893,0.117221,0.487617,0.124821,0.033418,0.145929,0.090994,0.006585,0.980526,0.012890,3.375061e-02,1.254564e-01,156_b_a.wav
0.001263,0.005009,0.114641,0.000074,0.000611,0.000376,0.878026,0.161396,0.434610,0.133100,0.033668,0.097608,0.139618,0.012410,0.975859,0.011731,6.221272e-02,-2.534556e-02,157_a_q.wav
0.022213,0.143500,0.170254,0.011402,0.018246,0.038520,0.595866,0.161945,0.531866,0.115637,0.025380,0.099843,0.065329,0.010435,0.963756,0.025809,5.522382e-02,-1.434814e-01,159_a_a.wav
0.006067,0.117968,0.053743,0.003630,0.005307,0.016504,0.796782,0.103826,0.501956,0.093108,0.029970,0.053307,0.217833,0.014219,0.639470,0.346310,-1.891371e-02,-7.145749e-02,159_b_a.wav
0.001301,0.004173,0.342038,0.000152,0.000560,0.000383,0.651394,0.172316,0.486489,0.164847,0.029584,0.083140,0.063624,0.017049,0.972992,0.009959,1.030082e-01,3.541977e-02,159_c_a.wav
